,会社名,対象,初年度年収
0,アクセンチュア株式会社 | コンサル未経験から挑戦できる「育成前提」の募集開始！,【コンサル経験不問／IT業界経験者募集】開発・インフラエンジニアからコンサルタント・アーキテクトへのキャリアチェンジを考えている方歓迎！,420万円～1600万円
1,株式会社サイショウビ | 残業ほぼなし／土日祝休み／有給消化率100％／定着率90％,【職種／業界未経験歓迎！】＼90%以上の先輩が未経験スタートです！／◆学歴不問　◆人柄重視　◇自分や周りの人との時間を大切に長く働きたい方,420万円～1000万円
2,株式会社パソナ | ＜ 東証1部上場「株式会社パソナグループ」のグループ会社 ＞,【20代～30代の方が中心に活躍中♪】■何かしらの事務経験がある方（業界不問・経験年数不問）,300万円～500万円
3,株式会社Freedoming | ★20代8割・30代2割のITベンチャー！スキルチェンジ・リモートOK,＼平均年齢27歳！会社づくりにも意見を出せる風通しの良さ！／◆エンジニアの実務経験2年以上（開発・インフラ不問）◆スキルアップ支援制度も充実！,336万円～600万円
4,株式会社TMJ | 東証一部上場セコムグループ★ホワイト企業認定★正社員登用あり,【未経験・第二新卒歓迎】◆高卒以上 ◆特別な経験・スキルは必要なし！★好奇心旺盛で分析が好きな方 ★接客・営業経験、対人スキルも活かせます,350万円～400万円
5,グルーコードシステムズ株式会社 | ★時代の転換期にチャレンジングな転職を応援★プライム案件9割,【実務経験者優遇・年齢不問】★何らかの開発経験 ※20代～40代まで幅広く活躍中 ※コロナが終息する近い将来を見据えて、時代を先取りしましょう！,300万円～1500万円
6,JTA株式会社 | 【20代で年収1000万円超えの社員続出中！】◆土日休み◆転勤なし,【実績を出せば必ず評価します！1年以内にマネージャーへの道も！】◎未経験・第二新卒の方歓迎します◎35歳までの方全員と面接します！,500万円～1000万円
7,株式会社メイテック | 東証一部上場／自動運転・EV・航空宇宙などの最先端・先行開発等,◆機械設計／電気・電子回路設計の経験(業界不問)◆約220万円の年収アップを実現した例も※30～40代のベテラン社員が多数活躍中！経験を活かせます！,400万円～800万円
8,フォーザウィン株式会社 | ＜有休消化率100%／残業月平均15時間以下／年間休日125日＞,＜前職の給与を保証！＞☆2年以上のゲーム開発経験をお持ちの方,450万円～1000万円
9,"サングローブ株式会社 | ★創業7期目で15,000社と直取引★年休130日/土日祝休み/残業ゼロ",【未経験の方、大歓迎！将来の管理職候補】【20～30代活躍中】★社会人経験をお持ちの方 ★営業・テレマーケティング経験者は歓迎します！,350万円～1000万円
10,株式会社三好不動産 | 【創立70年！歴史と実績のある総合不動産会社】★残業月15ｈ程♪,≪ 未経験OK！新たなキャリアを築きたい方は、ぜひ！≫ ◎要普免（AT限定可） ◎高卒以上　★業界経験・宅建をお持ちの方は歓迎します！,
11,フォーザウィン株式会社 | ＜完全週休2日／年間休日125日／有休取得100％／基本定時退社＞,【少しの経験でもOK！】応募条件：59歳まで（定年が60歳のため）☆IT業界での何らかの実務経験をお持ちの方（半年以上）,400万円～1000万円
